lexeme	CurrentNode	lineno	tokenName	valueIfNumber	parentNodeSymbol	isLeafNode	NodeSymbol
)	----	529	TK_CL	----	factor	leaf	TK_CL
----	term	-	----	----	arithmeticExpression	non-leaf	term
/	----	529	TK_DIV	----	highPrecedenceOperators	leaf	TK_DIV
----	highPrecedenceOperators	-	----	----	termPrime	non-leaf	highPrecedenceOperators
----	termPrime	-	----	----	term	non-leaf	termPrime
4	----	529	TK_NUM	4	all	leaf	TK_NUM
----	all	-	----	----	factor	non-leaf	all
----	factor	-	----	----	termPrime	non-leaf	factor
----	eps	-	----	----	termPrime	non-leaf	eps
----	termPrime	-	----	----	termPrime	non-leaf	termPrime
----	arithmeticExpression	-	----	----	factor	non-leaf	arithmeticExpression
----	eps	-	----	----	expPrime	non-leaf	eps
----	expPrime	-	----	----	arithmeticExpression	non-leaf	expPrime
Syntax Error in child of factor
----	term	-	----	----	arithmeticExpression	non-leaf	term
----	eps	-	----	----	termPrime	non-leaf	eps
----	termPrime	-	----	----	term	non-leaf	termPrime
----	arithmeticExpression	-	----	----	assignmentStmt	non-leaf	arithmeticExpression
----	eps	-	----	----	expPrime	non-leaf	eps
----	expPrime	-	----	----	arithmeticExpression	non-leaf	expPrime
;	----	529	TK_SEM	----	assignmentStmt	leaf	TK_SEM
----	stmt	-	----	----	otherStmts	non-leaf	stmt
----	otherStmts	-	----	----	otherStmts	non-leaf	otherStmts
c4bbb	----	530	TK_ID	----	singleOrRecId	leaf	TK_ID
----	singleOrRecId	-	----	----	assignmentStmt	non-leaf	singleOrRecId
----	eps	-	----	----	new_24	non-leaf	eps
----	new_24	-	----	----	singleOrRecId	non-leaf	new_24
----	assignmentStmt	-	----	----	stmt	non-leaf	assignmentStmt
<---	----	530	TK_ASSIGNOP	----	assignmentStmt	leaf	TK_ASSIGNOP
(	----	530	TK_OP	----	factor	leaf	TK_OP
----	factor	-	----	----	term	non-leaf	factor
(	----	530	TK_OP	----	factor	leaf	TK_OP
----	factor	-	----	----	term	non-leaf	factor
d4cbcd5677	----	530	TK_ID	----	all	leaf	TK_ID
----	all	-	----	----	factor	non-leaf	all
----	eps	-	----	----	temp	non-leaf	eps
----	temp	-	----	----	all	non-leaf	temp
----	factor	-	----	----	term	non-leaf	factor
----	term	-	----	----	arithmeticExpression	non-leaf	term
----	eps	-	----	----	termPrime	non-leaf	eps
----	termPrime	-	----	----	term	non-leaf	termPrime
----	arithmeticExpression	-	----	----	factor	non-leaf	arithmeticExpression
-	----	530	TK_MINUS	----	lowPrecedenceOperators	leaf	TK_MINUS
----	lowPrecedenceOperators	-	----	----	expPrime	non-leaf	lowPrecedenceOperators
----	expPrime	-	----	----	arithmeticExpression	non-leaf	expPrime
2.35	----	530	TK_RNUM	2.350000	all	leaf	TK_RNUM
----	all	-	----	----	factor	non-leaf	all
