rule	lexeme	line	tokenName	value			CurrentNode		parentNodeSymbol	isLeafNode		  NodeSymbol
  84		----   -		----		-	            more_ids              idList	nonleaf	            more_ids
  -1           ]  22          TK_SQR	-			----		     inputParameters	leaf	              TK_SQR
  -1           ;  22          TK_SEM	-			----		         funCallStmt	leaf	              TK_SEM
  35		----   -		----		-	                stmt          otherStmts	nonleaf	                stmt
  29		----   -		----		-	          otherStmts          otherStmts	nonleaf	          otherStmts
  -1       write  23        TK_WRITE	-			----		              ioStmt	leaf	            TK_WRITE
  49		----   -		----		-	              ioStmt                stmt	nonleaf	              ioStmt
  -1           (  23           TK_OP	-			----		              ioStmt	leaf	               TK_OP
  -1      c4bd56  23           TK_ID	-			----		                 all	leaf	               TK_ID
  52		----   -		----		-	                 all              ioStmt	nonleaf	                 all
  -1		----   -		----		-	                 eps              new_24	nonleaf	                 eps
  38		----   -		----		-	              new_24                 all	nonleaf	              new_24
  -1           )  23           TK_CL	-			----		              ioStmt	leaf	               TK_CL
  -1           ;  23          TK_SEM	-			----		              ioStmt	leaf	              TK_SEM
  34		----   -		----		-	                stmt          otherStmts	nonleaf	                stmt
  29		----   -		----		-	          otherStmts          otherStmts	nonleaf	          otherStmts
  -1		----   -		----		-	                 eps          otherStmts	nonleaf	                 eps
  30		----   -		----		-	          otherStmts          otherStmts	nonleaf	          otherStmts
  -1      return  24       TK_RETURN	-			----		          returnStmt	leaf	           TK_RETURN
  79		----   -		----		-	          returnStmt               stmts	nonleaf	          returnStmt
  -1		----   -		----		-	                 eps      optionalReturn	nonleaf	                 eps
  81		----   -		----		-	      optionalReturn          returnStmt	nonleaf	      optionalReturn
  -1           ;  24          TK_SEM	-			----		          returnStmt	leaf	              TK_SEM
  -1         end  25          TK_END	-			----		        mainFunction	leaf	              TK_END
